Plot,Above ground biomass density (Kg/ha),Easting (m),Northing (m),Elevation (m)
plot1,4910.379,285596.833,808365.495,246.122
plot2,3895.022,285413.547,808395.481,233.253
plot3,4853.535,284983.87,808119.861,243.379
plot4,3296.832,284808.721,807841.709,242.854
plot5,5477.157,284740.258,807477.861,248.713
plot6,7657.443,285116.488,807616.018,251.692
plot7,6072.436,284997.029,806930.165,233.657
plot8,6383.552,284460.931,806830.117,251.306
plot9,5996.888,284195.817,806687.253,246.387
plot10,5528.151,284486.913,807362.92,245.687
